Nummer,Artiest,Capo, +/-,Check
Can't help falling in love,21 pilots,,,Y
Make you feel my love,Adele,,,Y
Rolling in the Deep,Adele,,,Y
Empire state of mind,Alicia Keys,2,,Y
Mr Rock 'n Roll,Amy McDonald,4,,Y
Valerie,Amy Whinehouse,1,,Y
I'm outta love,Anastasia,,(+6),Y
Halo,Beyonce,1,,Y
Where there's gold,Dashboard Confessional,,,Y
Jolene,Doly Parton,3,(-5),Y
Lights,Ellie Goulding,,,Y
My Immortal,Evanescence,2,(+5),Y
Crazy,Gnarls Barkley,7,,Y
Starving ,Hailee Steinfeld,4,(+3),Y
"Sitting, waiting, wishing",Jack Johnson,,,Y
In the Blood,John Mayer,3,,Y
Stop this train,John Mayer,,,Y
Why Georgia,John Mayer,4,,Y
Dont stop believing,Journey,,,Y
Love yourself,Justin Bieber,,,Y
Somewhere only we know,Keane,5,(+5),Y
I apologize,Krezip,6,,Y
Paparazzi,Lady Gaga,1,,Y
Pokerface,Lady Gaga,,,Y
Numb,Linkin Park,0,,Y
The Messenger,Linkin Park,,,Y
Royals,Lorde,3,,Y
The way you make me feel,Michael Jackson,,,Y
Little Lion Man,Mumford and Sons,5,,Y
Feeling Good,Muse,4,,Y
This is Gospel,Panic! at the Disco,4,,Y
Brother,Racoon,,,Y
Lucky all my life,Racoon,,,Y
Oceaan,Racoon,2,,Y
Creep,Radiohead,2,,Y
Californication,Red Hot Chilli Peppers,8,,Y
Russian Roulette,Rihanna,,(-7),Y
Fourfive Seconds,Rihanna (Kanye West),3,,Y
Lovely Morning,Room Eleven,3,,Y
Closer,The Chainsmokers,4,,Y
Can't feel my face,The Weeknd,4,(-5),Y
Starboy,The Weeknd,3,(-5),Y
Say something,A great big world,,,M
Mezelf niet of nooit geweest,Acda en de Munnik,,,N
Addicted to you,Avicii,6,,N
Sail,Awolnation,,,N
Flaws,Bastille,3,,N
Black Chandelier,Biffy Clyro,1,,N
White Sparrows,Billie Talent,,,M
Donker hart,Bløf,,,N
Hier aan de kust,Bløf,,,N
Holiday in Spain,Bløf,,,N
In your arms,Chef's Special,,,N
Save me from Myself,Christina Aguilera,,(-7),N
Rather be,Clean Bandit,,,N
Titanium,David Guetta,,,N
Warwick Avenue,Duffy,3,(-4),M
I see fire,Ed Sheeran,6,,N
The A team,Ed Sheeran,,,M
Just one Yesterday,Fall out Boy,,(-2),N
Where's the love,Florence + the Machine,6,,N
Wake me up when September ends,Greenday,2,,N
Take me to church,Hozier,2,(-5),N
When you love someone,James TW,,,N
Hold my hand,Jess Glyne,,,N
I don't need no doctor,John Mayer,,,N
Years and years,King,5,,M
Use Somebody,Kings of Leon,6,,M
You & I,Lady Gaga,,,N
Summertime Sadness,Lana Del Rey,,,N
Dat ik je mis,Maaike Ouboter,,,N
One more night,Maroon 5,,(-1),N
Heartbreaker,Matt Wertz,,,N
The way I feel,Matt Wertz,,,N
Like I'm gonna lose you,Meghan Trainor,,,N
You're gonna make me lonesome          (when you go),Miley Cyrus,2,,M
Staring at the sky,Passenger,,,N
True Colors,Phil Collins,6,,M
Took a hit,Racoon,,,N
Mercy,Shawn Mendes,,,N
Heroes,Shinedown,,,N
Sound of Silence,Simon & Garfunkel,,,N
Superstition,Stevie Wonder,,,N
If we ever meet again,Timbaland,,,N
I follow rivers,Triggerfinger,,,N
Year of Summer,Wildstylez,4,,N
Attention,Charlie Puth,3,(-5),M
Oops I did it again,Britney Spears,2,(+4),M
Breakeven,The Script,,,M
Mirrors,Justin Timberlake,4,(-7),M